task_id,project_id,story_points,Mathematics.Linear Algebra,Mathematics.Differential Equations,Mathematics.Optimization Technique,Mathematics.Calculus,Mathematics.Combinatorics & Graph,Statistics & Probabilities.Statistics,Statistics & Probabilities.Probability & Sampling,Statistics & Probabilities.Bayessian Method,Statistics & Probabilities.Hypothesis Testing,Statistics & Probabilities.A/B Testing,Statistics & Probabilities.CUPED,Data Structures & Algorithms.Complexity Analysis,Data Structures & Algorithms.Programming,Data Structures & Algorithms.Data Structures,Data Structures & Algorithms.Algorithms,Data Structures & Algorithms.Advanced Algorithms,Data Structures & Algorithms.SQL,Data Structures & Algorithms.Shell / Bash Scripting,"Econometrics, Data Analysis, and Data Visualization.Data Preprocessing & EDA","Econometrics, Data Analysis, and Data Visualization.Data Viz & Storytelling","Econometrics, Data Analysis, and Data Visualization.Econometrics","Econometrics, Data Analysis, and Data Visualization.Regression Analysis","Econometrics, Data Analysis, and Data Visualization.Time Series Analysis","Econometrics, Data Analysis, and Data Visualization.Correlation Analysis","Econometrics, Data Analysis, and Data Visualization.Causal Analysis","Econometrics, Data Analysis, and Data Visualization.Dimensional Reduction (PCA)",Machine Learning.Supervised ML,Machine Learning.Unsupervised ML,Machine Learning.Reinforcemetn Learning,Machine Learning.Feature Engineering,Machine Learning.Ensemble Method,Deep Learning.Neural Network & DL,Deep Learning.NLP,Deep Learning.GAN,Deep Learning.Generative AI,Deep Learning.Computer VIsion,Deep Learning.Audio & Speech Processing,Deep Learning.Transfer Learning,Deep Learning.Sequence Modelling,Deep Learning.Accelerated & Parallel Computing,Deep Learning.Edge Computing,Data & Cloud Engineering.Relational DB,Data & Cloud Engineering.Non Relational DB,Data & Cloud Engineering.Devops & CI/CD,Data & Cloud Engineering.Data Pipeline,Data & Cloud Engineering.Data Collection,Data & Cloud Engineering.Data Wrangling,Data & Cloud Engineering.Batch Processing,Data & Cloud Engineering.Stream Processing,Data & Cloud Engineering.Big Data Tech,Data & Cloud Engineering.Data Warehousing,Data & Cloud Engineering.ORM & REST API,Data & Cloud Engineering.Microservices & Containerization,Data & Cloud Engineering.Cloud Native,Data & Cloud Engineering.Cloud & Serverless Architecture,Data & Cloud Engineering.Data Security & Privacy,Data & Cloud Engineering.Distributed Systems,"Data & Cloud Engineering.Monitoring, Logging, Alerting",MLOPS.ML Lifecycle,MLOPS.ML Model Pipeline,MLOPS.Model Versioning,MLOPS.Automated Testing & Validation,MLOPS.Scalable Model Training,"MLOPS.Model Deployment, Monitoring, Logging",MLOPS.Ethical AI & Bias Mitigation
T83,P5,8,5,2,1,0,4,1,4,0,3,2,2,5,3,5,1,5,1,5,3,3,0,4,0,3,2,5,4,5,5,4,3,5,0,0,2,0,4,5,4,1,4,1,5,3,5,4,0,0,1,3,5,1,1,4,2,5,1,3,1,0,0,4,1,4,1
T84,P4,3,1,0,2,2,1,5,4,3,3,0,3,0,5,4,4,3,1,5,2,5,1,1,1,0,1,0,0,1,2,4,5,5,3,5,5,1,0,1,0,0,1,1,2,0,3,1,4,4,5,3,1,0,3,0,5,3,4,0,3,4,1,0,2,0,3
T85,P4,2,1,3,2,1,2,4,3,1,1,1,1,3,2,4,5,5,1,5,3,3,5,1,5,2,0,4,2,0,2,2,0,3,5,0,4,0,3,0,1,3,0,4,1,5,1,0,2,4,3,1,3,3,0,1,3,3,4,5,3,2,3,1,2,1,0
T86,P4,5,2,4,1,4,3,1,5,0,4,5,2,2,0,2,5,2,2,3,5,4,4,0,4,3,5,0,4,2,2,0,4,1,4,1,1,0,2,0,4,3,0,1,4,4,1,3,0,2,1,4,2,4,3,3,4,5,2,5,1,5,1,2,1,5,5
T87,P1,8,3,4,4,5,3,4,2,4,0,2,1,1,3,5,5,4,0,1,0,2,3,2,2,3,5,1,4,4,1,1,0,5,1,4,4,3,3,0,0,0,1,0,1,2,1,2,3,4,3,2,5,3,3,3,4,2,4,4,0,5,1,4,1,4,0
T88,P2,3,1,5,1,1,5,2,0,5,5,2,1,2,4,4,5,5,5,4,5,5,0,3,3,2,5,4,2,3,5,0,1,2,0,4,1,4,1,0,1,5,2,2,1,1,5,5,5,4,1,0,3,4,5,3,4,0,4,5,0,4,2,3,5,4,2
T89,P3,2,1,5,3,5,3,0,2,3,3,1,5,3,3,4,3,3,0,3,0,5,4,0,3,5,2,2,4,2,5,1,0,0,3,1,5,4,2,3,3,3,2,2,2,3,4,3,2,4,4,5,3,5,1,4,0,2,1,3,1,3,4,1,0,5,2
T90,P5,1,0,5,1,0,0,0,1,3,0,5,1,3,1,0,2,3,2,0,4,5,1,0,2,3,3,2,2,4,4,2,5,1,3,2,5,3,5,2,0,2,0,0,1,4,0,4,5,4,5,2,0,3,4,5,4,1,4,0,0,4,4,3,1,4,0
T91,P2,8,3,1,4,5,1,5,5,0,5,1,4,0,3,5,1,5,0,0,5,1,3,3,3,4,5,4,5,1,4,0,4,5,0,5,1,5,3,1,1,5,0,0,1,4,4,3,0,5,4,0,3,3,1,5,5,1,1,1,4,3,5,2,4,3,0
T92,P3,8,2,3,3,5,4,5,5,2,5,1,0,2,5,1,0,3,1,1,2,0,2,2,5,3,5,5,5,3,4,5,0,4,4,4,4,1,3,2,3,5,5,4,4,3,0,2,3,4,3,5,2,1,4,0,1,4,3,3,2,1,5,1,2,1,1
T93,P3,8,2,3,4,3,4,3,5,0,5,4,2,5,5,0,2,4,4,2,1,2,0,3,0,2,0,0,5,1,0,0,0,1,3,4,5,2,4,0,1,2,4,2,0,3,2,0,0,3,4,0,4,5,2,1,4,4,5,5,4,1,2,4,3,0,1
T94,P4,3,5,2,1,5,1,0,0,0,3,2,0,5,4,0,0,5,3,3,5,1,0,4,4,1,3,1,0,2,1,5,0,0,2,5,1,5,5,1,3,2,2,4,4,4,1,4,1,5,5,5,0,1,1,0,2,0,5,5,4,0,1,0,4,0,1
T95,P4,2,0,5,0,1,3,5,5,3,1,2,2,5,2,1,0,2,3,2,3,5,0,0,5,1,1,3,2,4,0,1,4,0,1,5,1,2,1,2,5,3,2,3,0,1,1,4,0,5,2,4,4,2,3,0,2,4,1,2,4,1,5,5,3,4,4
T96,P4,3,2,2,5,2,1,1,1,2,4,4,4,2,2,0,0,4,2,2,0,5,5,2,3,4,3,0,4,3,3,5,1,2,5,1,3,1,1,5,4,4,4,1,2,4,0,5,0,0,5,1,1,4,3,3,2,5,3,4,3,5,0,5,0,2,2
T97,P3,8,4,3,4,2,4,4,3,0,5,1,1,5,5,3,0,0,0,4,0,2,1,2,3,0,0,2,4,0,4,5,3,1,5,0,5,3,5,2,1,1,5,0,2,5,2,5,1,5,3,2,2,1,2,2,4,1,5,4,1,1,1,0,4,4,1
T98,P4,1,5,3,2,5,4,1,3,1,3,4,5,1,2,4,5,2,5,4,0,4,3,1,1,4,2,4,2,1,3,2,2,5,0,5,4,0,2,2,2,1,5,4,4,5,5,1,5,2,0,5,4,5,3,1,2,1,5,4,4,3,4,5,0,1,3
T99,P4,1,1,3,5,3,5,3,4,1,3,1,0,5,0,0,1,2,2,0,1,1,5,2,4,0,5,3,2,0,1,3,2,1,1,2,4,1,0,1,4,2,2,3,3,4,5,3,3,5,5,2,2,4,1,3,4,5,3,5,0,4,2,2,0,3,5
T100,P3,3,1,4,0,4,5,5,3,3,4,5,5,4,1,4,1,0,0,5,4,0,4,2,5,4,3,0,0,1,2,3,0,1,1,1,3,5,0,1,0,1,3,5,5,5,5,4,5,4,2,3,2,3,5,1,2,5,2,5,3,1,3,4,4,4,0
T101,P4,8,5,3,5,2,3,2,4,0,5,0,3,3,2,4,3,3,1,1,4,5,1,3,1,0,4,4,0,1,0,2,5,4,5,4,5,3,1,4,3,3,1,0,4,0,1,0,0,0,0,4,5,4,1,4,1,2,1,4,2,1,0,3,0,4,0
T102,P4,5,3,4,0,5,1,4,0,5,4,0,3,4,3,4,4,0,5,3,3,4,0,2,0,4,2,2,4,1,4,3,5,5,3,3,1,5,5,2,4,5,4,5,4,1,1,5,1,5,5,1,5,1,2,5,1,1,2,2,1,2,0,0,5,5,4
T103,P3,2,1,0,1,1,2,2,3,1,5,2,5,3,0,2,5,3,5,1,5,3,0,2,4,0,3,0,2,2,4,3,0,1,3,0,1,0,1,5,2,3,1,5,2,0,1,5,3,3,5,3,5,3,5,2,3,1,3,0,5,2,3,5,5,2,1
T104,P2,5,0,1,4,0,2,4,5,2,4,5,1,2,0,2,0,3,3,3,2,4,4,2,5,2,0,0,0,1,2,2,4,2,0,2,5,3,3,4,5,5,4,0,1,2,2,0,1,4,1,3,2,2,5,1,2,3,2,4,2,4,2,5,0,0,4
T105,P1,2,1,0,2,0,4,1,2,5,0,2,0,1,3,1,3,2,1,1,1,2,3,3,5,1,0,1,5,0,5,5,5,1,2,5,1,2,0,3,4,1,5,4,0,3,1,1,2,4,2,5,5,0,2,4,3,5,4,0,3,5,2,2,4,3,3
T106,P4,2,5,1,4,0,2,2,3,5,4,4,3,1,2,2,1,3,5,5,3,4,2,2,1,1,5,5,5,4,2,4,3,2,2,1,2,4,1,5,1,5,1,0,1,1,4,3,1,5,1,4,3,3,1,5,2,3,5,5,1,0,4,3,0,0,2
T107,P1,3,1,1,0,0,4,0,4,4,3,2,0,1,2,1,5,0,3,3,5,5,0,5,0,5,3,0,0,3,2,3,4,3,4,3,4,5,3,1,5,5,3,3,5,5,0,1,4,3,1,1,1,3,3,4,5,5,4,5,1,2,2,0,2,1,3
T108,P2,1,5,5,1,1,3,1,5,0,5,1,3,4,0,3,0,2,3,1,5,5,1,1,2,3,3,1,3,4,3,2,1,1,1,4,3,5,4,4,0,0,3,2,3,1,4,2,3,3,3,1,2,2,3,5,3,5,0,4,3,2,2,5,0,3,0
T109,P2,1,0,5,0,5,4,3,1,4,0,0,2,3,4,4,5,1,2,2,5,2,4,2,0,3,5,1,3,5,4,2,1,4,1,5,5,2,2,4,2,1,4,2,1,4,4,5,1,3,0,2,3,0,5,1,2,1,2,5,5,3,1,1,0,5,0
T110,P5,5,1,4,2,3,2,5,3,5,4,1,1,5,0,5,2,0,5,0,5,0,3,0,1,0,1,0,5,2,4,5,2,0,1,0,4,1,0,0,1,1,2,0,5,1,0,2,3,2,5,0,3,0,4,3,1,4,4,2,1,3,3,4,0,1,2
T111,P5,3,2,5,5,4,2,1,3,0,4,3,4,1,2,2,0,0,0,2,1,3,3,3,5,2,0,1,2,0,1,5,3,2,1,3,1,2,5,5,3,4,0,1,0,5,1,3,4,0,2,0,4,2,4,3,5,1,5,2,2,2,0,2,3,3,2
T112,P1,1,4,2,2,4,2,0,4,1,2,4,2,4,3,2,2,3,4,3,5,3,0,3,2,0,0,4,2,5,3,0,2,0,0,1,5,5,2,1,0,3,0,4,3,2,4,2,0,2,2,3,0,1,1,2,5,2,2,5,3,2,4,5,2,3,1
T113,P3,2,3,4,2,3,4,1,1,4,3,3,2,2,1,0,3,3,3,1,0,3,4,3,4,0,4,0,5,5,4,2,1,0,4,0,4,2,4,1,3,4,2,0,5,5,5,1,0,3,3,5,4,4,1,2,3,2,4,4,3,3,1,5,3,2,3
T114,P2,2,2,2,4,3,3,3,2,3,2,2,0,4,4,4,5,2,2,0,0,3,0,3,2,2,3,4,1,2,5,4,2,3,4,3,5,2,2,4,5,1,0,4,5,5,4,5,2,2,1,2,5,4,0,3,1,5,1,1,5,2,3,2,0,0,3
T115,P3,2,4,1,4,1,0,5,2,2,4,5,1,4,4,2,1,2,2,1,5,5,1,5,5,3,0,5,4,0,3,4,1,3,4,5,5,2,3,3,4,2,3,4,5,3,0,0,3,4,3,1,1,2,4,1,3,1,4,5,3,5,2,1,4,5,2
T116,P3,8,3,5,5,0,1,0,4,5,2,1,0,0,1,5,1,0,4,2,0,0,1,3,2,0,3,0,1,0,3,2,0,2,3,0,4,5,1,2,0,5,5,1,2,2,4,5,5,5,3,0,2,1,4,1,2,1,2,3,5,4,5,5,2,5,4
T117,P2,5,3,4,5,5,4,1,3,1,0,1,5,3,0,4,3,2,5,2,3,3,3,3,4,2,0,4,0,3,1,4,3,0,2,5,5,5,0,0,4,4,0,0,3,3,4,1,5,3,4,2,5,1,2,5,0,5,5,2,4,5,3,0,5,5,2
T118,P4,8,2,2,4,5,0,5,3,5,2,4,2,1,2,2,1,3,3,5,1,4,3,1,2,3,5,3,2,4,2,2,3,5,2,0,3,2,4,2,5,1,0,4,3,4,4,5,2,1,0,1,1,1,5,1,5,5,4,2,4,3,0,5,5,1,4
T119,P3,3,0,3,5,4,5,4,0,4,5,0,4,2,2,1,0,2,5,1,2,5,3,1,5,2,1,0,4,3,5,2,1,5,1,5,1,1,1,2,1,1,0,2,2,3,5,2,3,4,4,4,1,3,1,1,4,0,1,2,0,1,1,4,4,4,1
T120,P3,5,5,3,3,4,3,5,5,4,4,0,3,4,5,1,2,0,4,3,5,1,0,4,0,4,0,2,4,2,0,3,0,2,0,1,4,2,0,2,3,0,2,0,0,1,2,4,2,5,2,5,4,0,0,2,5,5,2,3,4,4,2,4,1,3,5
T121,P1,3,3,2,4,5,4,3,1,1,5,1,1,0,4,0,3,5,4,3,4,3,0,0,0,3,3,0,0,0,2,3,4,3,3,2,0,5,1,5,2,2,4,2,0,3,3,3,4,1,1,1,0,0,0,4,1,5,5,4,0,4,4,3,0,1,1
T122,P1,2,2,4,1,4,0,2,2,0,0,4,0,0,3,2,4,3,5,2,4,1,5,3,4,3,0,4,2,4,4,1,0,0,1,4,1,5,4,1,3,2,5,0,2,5,5,1,3,5,1,0,2,3,3,4,0,2,5,4,0,4,1,1,1,5,3
T123,P4,1,4,0,0,2,0,1,2,3,4,1,5,1,3,4,3,4,4,4,1,0,0,1,4,3,4,1,5,5,1,1,5,2,5,0,5,4,3,1,3,0,3,3,0,1,4,0,1,3,3,2,2,0,2,3,3,5,0,1,2,3,1,1,4,5,3
T124,P4,1,0,3,0,1,3,3,4,1,4,1,5,4,5,1,0,5,4,2,1,0,4,0,1,2,3,3,5,3,3,3,3,2,5,4,1,3,5,0,0,3,1,3,1,2,5,5,4,5,5,2,0,3,1,2,3,4,0,4,4,5,0,0,2,0,1
T125,P2,3,2,5,2,2,3,4,0,4,4,3,0,3,5,1,4,3,0,4,2,2,0,1,2,2,3,0,3,0,5,5,5,0,4,2,0,5,4,0,4,5,3,3,0,4,3,3,1,2,3,0,4,3,0,5,5,3,2,5,1,5,5,1,0,3,2
T126,P3,8,0,3,3,2,3,4,2,1,3,2,4,0,1,0,5,1,3,4,2,2,3,5,2,0,5,3,5,4,5,0,2,0,5,0,1,5,2,0,1,0,0,2,3,2,2,2,3,4,4,2,5,3,0,4,1,1,3,3,0,3,0,0,1,5,1
T127,P2,8,5,0,4,1,3,4,1,0,2,3,3,0,4,0,3,2,2,5,4,0,4,2,4,5,3,5,4,1,2,3,4,1,2,5,0,1,0,2,3,3,2,5,0,1,3,2,4,3,0,2,3,2,0,0,4,5,5,0,5,3,3,1,4,4,4
T128,P1,3,0,5,4,3,5,0,4,1,5,3,1,3,1,3,2,4,5,3,3,3,3,1,4,3,3,5,4,2,4,2,4,0,3,0,4,3,5,2,2,2,0,5,2,1,4,0,0,4,4,2,4,1,1,1,3,0,1,5,3,0,0,1,2,0,1
T129,P1,2,3,4,5,2,3,4,1,4,2,4,5,4,5,2,5,4,1,2,3,5,1,0,5,1,2,5,5,2,5,2,2,1,3,4,3,0,4,2,4,1,0,3,1,2,5,1,0,5,1,0,1,0,3,5,5,1,3,4,1,5,4,4,3,0,1
T130,P5,1,5,0,2,1,5,2,1,3,4,2,3,5,0,0,3,4,0,2,2,3,5,3,5,1,2,4,0,4,4,2,0,4,4,4,2,3,3,1,4,0,1,1,3,0,0,5,2,1,1,5,5,4,5,2,2,1,1,1,5,3,4,5,5,2,1
T131,P2,5,1,3,2,2,5,4,0,0,5,0,4,1,4,4,0,1,1,3,5,4,0,0,3,0,4,1,3,0,3,0,4,2,2,1,5,3,2,1,3,4,1,1,4,1,0,4,5,4,2,3,3,4,3,1,3,3,1,5,3,4,3,0,5,5,3
T132,P5,3,5,1,0,1,4,3,1,1,0,2,3,2,4,1,3,1,0,0,3,1,0,4,3,2,3,2,1,5,3,1,4,1,2,0,0,0,5,2,0,5,1,5,5,3,3,1,0,1,0,4,4,2,0,5,5,5,3,3,1,2,0,4,5,0,0
T133,P5,5,2,4,4,3,0,4,3,0,4,2,4,5,0,3,2,1,1,1,5,2,1,1,2,4,3,4,1,3,1,0,1,1,4,3,0,0,0,4,4,2,3,3,2,0,1,1,3,5,3,5,3,3,1,2,0,2,5,3,3,2,4,1,5,4,5
T134,P2,8,3,4,0,0,3,3,0,0,2,0,5,0,5,2,2,0,1,4,0,3,1,2,3,3,2,3,4,5,1,2,2,1,1,5,5,0,1,2,4,1,2,4,4,2,3,4,2,0,3,5,5,0,1,5,0,1,0,3,5,4,3,2,3,1,3
T135,P2,5,0,1,3,1,5,2,2,2,0,1,2,4,5,0,4,2,5,1,3,4,5,5,5,0,2,3,0,5,5,0,5,4,0,3,4,4,1,2,4,5,2,5,3,5,2,2,4,1,0,1,3,2,4,5,2,3,2,4,2,1,4,3,4,1,5
T136,P4,2,1,0,1,0,4,1,0,2,1,3,1,1,3,3,2,4,0,0,5,1,3,0,2,2,3,0,1,0,1,3,2,5,4,4,0,0,1,1,1,3,5,5,5,0,5,3,1,4,4,3,4,5,2,2,3,2,3,5,5,3,0,2,4,3,4
T137,P3,2,2,5,0,3,1,4,2,1,4,3,4,0,3,3,0,3,5,3,3,3,3,5,4,1,3,0,3,0,5,1,0,2,5,1,1,0,0,3,3,3,1,1,3,0,3,4,3,4,3,1,4,5,5,1,5,1,5,0,0,3,3,4,5,4,2
T138,P1,3,3,5,0,2,2,3,3,0,0,3,4,2,1,4,2,1,1,3,0,2,1,0,4,2,1,5,2,3,3,1,5,5,0,5,0,4,0,0,0,4,4,1,5,2,1,1,0,2,3,0,0,4,2,0,3,4,1,4,5,4,3,3,3,3,2
T139,P5,2,5,0,0,4,3,1,5,5,0,2,0,3,5,4,0,4,3,3,3,3,2,0,5,1,4,0,2,3,3,5,3,5,0,4,0,2,2,0,4,4,5,4,3,4,2,4,2,3,3,5,2,5,0,3,1,1,1,3,2,2,1,1,5,5,4
T140,P2,5,1,3,3,4,5,2,5,1,0,0,1,4,1,0,5,5,1,2,1,0,0,4,4,5,2,1,2,0,1,3,4,0,3,1,3,2,2,0,3,5,0,5,0,1,2,0,3,5,5,1,0,1,1,1,2,1,2,1,4,5,0,5,2,2,1
T141,P5,2,1,5,4,4,2,3,3,5,0,4,5,3,5,5,5,3,3,4,0,0,4,1,3,1,4,5,1,5,2,2,3,0,1,1,5,5,5,5,3,2,2,5,5,0,2,5,4,1,5,0,5,5,2,4,4,5,0,4,5,3,2,1,3,4,3
T142,P5,5,5,5,1,4,4,4,5,0,3,1,2,0,3,0,2,1,3,5,3,1,5,5,3,5,5,0,3,0,4,1,4,3,0,5,3,1,3,3,0,1,2,0,3,4,0,0,1,2,2,5,3,1,0,5,5,2,5,1,5,4,2,2,2,4,5
T143,P5,1,1,1,2,5,3,2,1,3,4,4,5,4,4,2,0,0,2,2,0,2,5,0,0,5,4,4,0,4,5,2,2,1,1,5,2,2,2,5,3,4,5,1,1,4,1,0,3,0,2,1,4,2,0,5,5,3,5,5,2,5,0,2,0,3,1
T144,P5,3,5,5,1,3,1,5,4,3,1,0,1,4,1,5,2,4,3,2,1,1,5,1,0,0,3,1,0,4,0,4,1,5,1,4,1,2,0,0,5,4,1,3,2,3,3,1,2,0,1,2,2,5,5,5,5,5,4,4,0,2,2,4,0,2,3
T145,P2,8,5,2,2,3,3,4,5,2,4,1,0,3,0,1,5,5,4,5,1,5,5,1,2,1,5,1,2,0,1,2,5,0,3,2,5,0,3,3,4,3,2,2,5,1,1,5,5,5,5,1,5,1,0,2,1,1,2,4,4,0,5,2,2,3,0
T146,P4,8,2,0,0,0,4,3,4,4,2,1,4,2,2,4,0,1,1,5,4,5,1,3,3,2,0,2,4,3,0,5,4,1,0,0,2,3,1,1,3,5,1,1,3,5,3,2,4,2,4,2,3,4,4,3,3,3,5,0,4,0,2,0,0,1,3
T147,P5,3,1,2,5,4,3,5,1,0,5,1,3,1,1,4,4,2,0,4,2,2,2,1,5,0,5,0,0,0,1,1,1,5,2,4,5,2,3,2,5,0,0,5,1,3,3,3,0,5,4,4,2,5,5,1,2,3,1,2,1,3,5,2,4,2,5
T148,P1,5,5,0,0,4,2,1,2,4,2,1,5,2,5,1,0,0,0,0,5,2,0,4,4,1,3,2,1,2,1,1,0,3,5,0,1,2,0,2,5,0,5,4,2,3,3,4,3,1,2,3,5,5,0,0,1,2,4,1,2,2,4,5,3,2,0
T149,P1,3,3,5,5,1,5,1,5,0,3,4,4,4,4,1,1,0,5,5,4,3,0,2,2,1,1,5,0,2,1,0,5,4,2,2,5,3,1,0,0,3,3,5,2,4,3,5,2,0,0,5,1,4,0,0,2,1,3,4,5,5,1,3,5,1,1
T150,P2,5,4,2,2,5,2,3,1,2,5,2,1,0,2,4,5,5,1,0,0,4,1,1,2,4,0,1,1,2,1,1,0,5,0,0,0,4,2,1,1,4,2,4,2,0,3,3,3,0,5,5,1,3,4,0,1,2,3,5,3,3,3,3,1,4,5
T151,P4,2,5,2,4,3,1,5,0,0,5,1,1,0,3,1,1,3,5,4,1,5,0,0,3,5,3,5,4,2,1,0,1,2,2,3,5,1,4,1,1,4,5,0,4,1,1,3,5,1,5,2,0,4,5,4,1,0,2,0,0,5,0,3,2,3,1
T152,P2,1,0,3,2,5,3,0,3,4,1,5,0,5,2,4,2,0,5,4,2,4,3,1,4,4,5,4,0,3,4,1,2,2,0,1,2,5,0,0,3,4,5,5,1,4,2,5,1,2,3,1,3,0,0,0,0,3,0,1,0,3,3,1,1,5,0
T153,P5,5,3,1,3,2,5,2,5,0,5,2,2,5,1,4,2,5,3,4,5,4,3,5,4,1,2,3,2,3,5,1,0,4,3,2,4,0,0,1,1,1,5,4,5,1,5,5,0,1,3,2,4,4,4,2,5,0,0,2,0,5,1,5,3,5,3
T154,P3,8,3,0,0,4,2,2,0,1,4,2,3,0,5,5,3,3,5,3,5,1,3,4,1,4,2,3,2,1,0,5,5,3,2,5,3,1,3,4,5,1,1,4,4,1,3,2,0,1,5,2,0,5,0,5,0,2,1,4,0,0,2,0,5,2,3
T155,P2,1,1,5,4,2,5,0,4,1,2,2,4,0,0,4,4,0,1,2,2,5,0,1,3,1,4,2,2,5,2,3,2,3,1,4,1,3,4,1,1,1,5,4,4,0,3,0,3,3,3,5,2,1,4,2,3,1,2,0,2,3,5,1,3,2,0
T156,P4,2,0,4,5,1,3,2,5,1,3,4,1,5,2,1,3,0,2,5,0,4,3,1,0,2,5,1,0,3,4,0,5,4,5,1,0,3,0,5,0,3,3,2,4,3,1,4,5,3,3,2,4,2,1,2,2,5,1,5,0,2,3,2,2,0,3
T157,P2,5,5,2,2,4,5,5,4,3,2,4,2,4,5,2,5,0,0,2,4,4,4,1,4,1,3,2,4,5,0,3,0,3,2,0,4,4,2,1,3,1,2,3,3,5,5,1,3,5,0,3,3,0,5,0,0,4,5,3,1,2,2,0,5,2,5
T158,P3,2,0,4,0,1,4,5,0,0,4,4,3,5,1,1,0,1,4,0,3,0,0,0,1,3,5,2,2,4,0,3,3,1,2,3,3,5,4,2,3,3,1,0,2,2,0,3,1,1,1,2,0,3,2,2,2,2,0,1,2,4,4,4,0,4,1
T159,P1,2,1,0,5,5,3,5,0,3,3,4,2,4,4,3,2,1,4,5,1,4,5,5,0,2,5,4,0,0,0,3,0,0,2,0,3,5,1,5,4,0,5,4,0,2,1,4,3,1,4,4,4,3,0,4,3,1,1,0,2,2,3,0,4,0,2
T160,P4,8,0,0,3,5,3,1,2,0,5,5,2,3,4,1,1,3,0,1,1,1,3,4,4,3,2,5,3,4,5,4,3,4,1,2,2,4,4,2,5,2,5,0,5,1,2,4,5,5,0,0,3,0,1,4,0,4,3,4,2,2,1,5,0,3,2
T161,P2,8,2,3,2,1,5,5,5,1,5,0,4,3,0,5,4,1,4,0,4,4,2,4,2,3,0,5,3,4,3,0,1,2,1,5,1,2,1,1,5,3,0,0,3,5,5,2,0,1,3,4,5,0,5,0,5,3,3,1,2,1,3,2,0,5,0
T162,P2,5,1,5,2,4,4,5,1,1,0,0,2,1,3,4,1,1,2,4,1,1,1,4,2,4,2,0,2,2,4,0,3,5,5,0,1,1,1,4,1,3,4,5,1,1,5,4,4,3,3,5,2,5,5,2,4,5,5,1,2,4,2,1,1,5,1
T163,P3,3,0,2,5,2,1,3,0,4,1,4,1,5,4,1,5,4,4,4,5,3,5,4,2,3,5,3,1,1,3,4,3,1,4,1,4,0,2,1,0,0,5,3,0,3,2,1,1,4,4,3,5,5,0,1,0,0,1,2,3,3,2,2,4,1,5
T164,P2,5,3,1,4,5,5,1,4,1,1,0,2,2,4,2,2,5,5,0,2,0,3,1,5,3,4,3,3,4,5,4,4,0,4,1,3,5,5,3,5,5,5,2,2,5,4,0,5,3,5,5,1,4,1,1,4,1,0,4,5,5,5,4,0,3,4
T165,P2,5,1,0,5,4,1,5,1,5,0,2,4,2,5,2,0,5,0,4,2,4,4,1,0,3,4,4,3,5,0,5,5,4,5,4,2,3,4,1,5,3,0,3,1,4,1,5,4,3,2,0,4,0,3,4,1,2,5,4,4,0,1,5,0,2,0
T166,P3,3,5,5,4,5,5,5,2,5,1,2,0,5,1,0,0,0,1,0,5,0,4,1,3,5,1,1,3,4,0,2,3,1,0,1,1,2,4,5,0,0,3,5,2,3,4,3,2,2,0,1,5,2,4,2,4,5,5,1,2,5,1,1,5,2,0
T167,P2,5,4,0,1,0,5,5,1,3,4,2,0,2,1,5,2,4,0,2,1,1,0,5,5,1,4,1,1,2,3,3,0,3,5,1,1,4,1,4,1,5,2,4,3,1,2,5,3,5,0,1,1,3,3,5,5,1,5,1,2,0,4,3,4,4,5
T168,P5,2,0,5,4,4,0,4,5,4,1,0,0,3,2,2,2,4,2,3,3,0,1,1,2,5,1,0,5,2,2,4,3,3,1,5,4,0,1,2,2,0,4,5,2,0,0,0,0,3,4,0,3,3,4,2,2,1,1,0,0,5,0,3,2,0,4
T169,P5,1,0,5,3,4,0,2,0,3,5,4,3,5,5,1,1,2,3,1,3,2,2,3,2,2,5,4,0,0,2,2,1,3,0,0,1,4,1,1,1,2,2,0,4,3,2,1,1,1,2,5,3,0,1,4,4,4,1,2,1,4,5,3,5,2,0
T170,P2,8,5,1,5,0,5,5,4,1,5,3,4,1,5,2,4,3,0,5,1,5,0,0,5,3,3,1,4,5,5,3,0,1,3,4,0,2,3,3,3,2,1,1,5,1,5,2,4,5,5,2,1,2,0,2,5,4,0,2,4,0,4,1,5,4,0
T171,P1,5,0,3,3,2,3,0,2,3,5,2,4,3,2,4,2,5,0,3,0,3,2,5,0,2,0,3,4,1,0,2,4,0,1,1,0,2,4,1,0,2,3,4,5,2,5,3,4,1,1,0,5,2,3,0,4,2,0,5,1,1,1,5,3,3,3
T172,P5,1,1,0,0,0,0,0,4,3,1,2,2,4,2,4,0,2,3,4,5,4,1,3,2,1,4,5,0,3,1,2,0,2,2,5,2,2,3,2,5,5,0,2,1,4,5,4,5,2,0,1,3,1,0,4,4,4,5,0,0,5,2,4,1,5,4
T173,P3,3,1,0,0,2,1,1,4,1,3,2,3,3,1,1,1,4,2,0,4,4,5,2,0,3,3,5,1,0,0,5,0,2,4,0,2,0,5,4,1,1,5,2,1,5,4,3,4,5,5,4,4,4,0,5,5,1,0,0,2,4,5,4,0,1,5
T174,P1,2,0,1,2,4,0,3,5,5,2,2,5,5,5,4,4,1,0,0,4,1,5,3,5,0,3,0,3,3,2,1,4,0,2,1,0,4,0,5,5,3,3,5,2,3,3,0,2,0,4,1,5,1,4,4,1,0,3,5,3,2,4,5,4,0,0
